Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 08:58:53,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,5,"The candidate demonstrates relevant experience and a professional tone, making them a solid candidate worth further consideration.",4,"The cover letter highlights experience with CRM software and sales processes, indicating a good level of competence.",6,The candidate's experience in customer management and sales execution aligns well with the job responsibilities.,6,The candidate's proactive communication and focus on results suggest they would perform adequately in the role.,3,3,3,3,The cover letter doesn't showcase leadership qualities; it focuses on individual contributions and execution.,4,"Given the entry-level nature of the role, a moderate level of professional status is anticipated with successful performance.",3,"The tone is professional and polite, but lacks a strong sense of personal connection or enthusiasm.",Consider,,
JD001_FCL002,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 08:59:09,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,5,"The candidate demonstrates relevant experience and a professional tone, making them a solid candidate to consider for the role.",4,"The applicant highlights experience with CRM software and sales processes, indicating a good level of competence for an entry-level role.",6,"The cover letter directly addresses key responsibilities like client management and sales processes, showing a strong fit for the position.",6,The candidate's experience in tracking metrics and supporting client requirements suggests they would perform adequately in the role.,3,2,3,2.67,The cover letter doesn't showcase strong leadership qualities; the focus is on collaborative team work rather than independent direction.,4,"Given the entry-level nature of the role, a moderate level of professional status within the organization is anticipated.",4,"The candidate uses polite and professional language, conveying a sense of trustworthiness and sincerity in their application.",Interview,,
JD001_FCL003,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 08:59:29,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,5,"The candidate demonstrates relevant experience and a professional tone, making them a solid candidate to consider for the role.",4,"The cover letter suggests competence in business development and data analysis, aligning with the job's requirements.",6,The candidate's experience in customer acquisition and contract negotiation directly addresses key job responsibilities.,6,The candidate's experience with performance tracking and reporting indicates they can likely meet performance expectations.,3,3,3,3,The cover letter doesn't highlight leadership qualities; it focuses on individual contributions and execution.,4,"Given the entry-level nature of the role, moderate professional status within the organization is anticipated.",3,"The tone is professional but somewhat formal, lacking a strong sense of personal warmth or enthusiasm.",Interview,,
JD001_FCL004,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 08:59:45,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,5,"The candidate demonstrates relevant experience and a professional tone, making them a solid candidate to consider for the role.",4,"The cover letter suggests competence in data analysis, communication, and client alignment, indicating a capable skillset.",6,"The experience described aligns well with the job responsibilities, particularly in customer acquisition and contract management.",6,The candidate's background suggests they would likely meet performance expectations in sales support and reporting tasks.,3,3,3,3,The cover letter doesn't highlight leadership qualities; experience is focused on support and alignment roles.,4,"This candidate would likely achieve moderate status within the organization, contributing as a reliable team member.",4,"The tone is professional and sincere, conveying a positive impression of trustworthiness and approachability.",Consider,,
JD001_FCL013,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 09:00:00,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,5,"The candidate demonstrates relevant experience and a clear understanding of sales functions, making them a solid potential hire.",4,"The applicant highlights key skills like CRM usage and lead qualification, suggesting a good level of competence for an entry-level role.",6,"The cover letter directly addresses the job requirements, showcasing a strong alignment between skills and the role's responsibilities.",6,"Based on the described experience with sales operations and reporting, the candidate is likely to perform well in assigned duties.",3,3,3,3,The cover letter doesn't highlight leadership qualities; the focus is on individual contribution and task completion.,4,The candidate is likely to achieve moderate status within the organization through consistent performance and contribution.,3,"The tone is professional but somewhat formal, lacking a strong sense of personal connection or enthusiasm.",Interview,,
JD001_FCL014,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 09:00:22,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,5,"The candidate demonstrates relevant experience and skills, making them a potentially valuable addition to the team, warranting further consideration.",4,"The applicant clearly articulates technical skills and experience with CRM and sales processes, indicating strong competence.",6,"The cover letter directly addresses key requirements like CRM usage and outreach, suggesting a good fit for the entry-level sales role.",6,"Based on the described experience, the candidate should be able to adequately perform assigned duties and meet performance expectations.",3,2,3,2.67,The cover letter doesn't highlight leadership qualities; the experience described is more operational than leadership-focused.,4,"The candidate is likely to achieve moderate professional status within the organization, growing with experience and performance.",3,"The tone is professional and polite, but lacks a strong sense of personality or enthusiasm, appearing somewhat neutral.",Consider,,
JD001_FCL015,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 09:00:44,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,5,"The candidate demonstrates relevant experience and a clear interest in the role, making them a potentially valuable asset to the team.",4,"The applicant highlights analytical skills and software proficiency, suggesting a good base level of competence for the position.",6,"The cover letter directly addresses key responsibilities like client relations, lead generation, and contract documentation.",6,"Based on the described experience, the candidate appears capable of completing assigned duties and meeting performance expectations.",3,3,3,3,The cover letter doesn't showcase leadership qualities; the focus is on individual tasks and operational support.,4,"The candidate is applying for an entry-level role, so moderate professional status within the organization is anticipated.",3,"The tone is professional but somewhat formal, lacking a strong sense of personality or enthusiasm.",Consider,,
JD001_FCL016,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 09:01:00,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,4,"The candidate demonstrates relevant experience, but the cover letter lacks specific achievements and quantifiable results to strongly recommend an offer.",3,"The candidate shows basic competence in sales support tasks, but lacks detail regarding proficiency with key tools like CRM or contract negotiation.",5,"The described experience aligns well with the responsibilities, particularly in client relations, lead generation, and documentation preparation.",5,The candidate appears capable of completing assigned duties and meeting basic performance requirements with appropriate training and support.,2,2,2,2,"The cover letter does not provide any evidence of leadership skills or potential; the role is entry-level, so this is not critical.",3,"Given the entry-level nature of the role, moderate professional status within the organization is anticipated with consistent performance.",3,"The tone is professional and polite, but the letter is somewhat generic and lacks a personal touch to convey strong warmth.",Consider,,
JD001_FCL017,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 09:01:16,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,4,"The cover letter demonstrates relevant experience, but lacks specific achievements; a job offer isn't immediately recommended.",3,"The candidate mentions relevant skills, but the descriptions are generic and don't showcase a high level of expertise.",5,"The candidate's experience with CRM, data entry, and office software aligns well with the job requirements.",5,"The candidate appears capable of completing assigned duties, particularly with some initial training and guidance.",2,2,2,2,The cover letter doesn't provide any evidence of leadership skills or potential; it's a very entry-level application.,3,"Given the entry-level nature of the role and the candidate's experience, moderate status is anticipated.",3,"The tone is professional but somewhat formal and lacks a personal touch, resulting in a neutral perception.",Consider,,
JD001_FCL018,aisingapore/Gemma-SEA-LION-v4-27B-IT,region,2026-07-24 09:01:32,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,4,"The candidate demonstrates relevant experience, but the cover letter lacks specific achievements and quantifiable results to strongly recommend an offer.",3,"The candidate lists relevant skills, but the descriptions are general and don't showcase a high level of expertise or problem-solving ability.",5,"The candidate's experience with CRM software, data entry, and sales operations aligns well with the job requirements outlined in the description.",4,"The candidate appears capable of completing assigned duties, but further assessment is needed to confirm their ability to consistently meet performance goals.",2,2,2,2,"The cover letter does not provide any evidence of leadership skills or experience; the role is entry-level, so this is not critical.",3,"Given the entry-level nature of the role, the candidate is unlikely to attain significant professional status quickly within the organisation.",3,"The cover letter is polite and professional, but lacks a personal touch that would convey a strong sense of warmth or enthusiasm.",Consider,,
